+-----+-----+----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-------------------------+-------------------------+------------------------+------------------------+-------------------------+
|  h  |  x  |        y real        |     y euler (1)      |     y richar (1)     | y euler melhorado (2) |      y heun (3)      |    y nystrom (3)     |    y r. kutta (4)    |    erro r. euler     |     erro r. richard     |     erro r. euler m.    |     erro r. heunn      |    erro r. nystrom     |     erro r. r. kutta    |
+-----+-----+----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-------------------------+-------------------------+------------------------+------------------------+-------------------------+
| 0.1 |  0  |          1           |          1           |          1           |           1           |          1           |          1           |          1           |          0           |            0            |            0            |           0            |           0            |            0            |
| 0.1 | 0.1 |  0.9048374180359595  |         0.9          |  0.9049999999999999  |         0.905         |  0.9048333333333334  |  0.9048333333333334  |      0.9048375       | 0.005346173731917052 | -0.00017968085846106863 | -0.00017968085846119133 | 4.514294551396321e-06  | 4.514294551396321e-06  |  -9.058427382634668e-08 |
| 0.1 | 0.2 |  0.8187307530779818  |         0.81         |  0.8190124999999999  |        0.819025       |  0.8187233611111111  |  0.8187233611111111  |  0.8187309014062499  | 0.010663765890262324 |  -0.0003441264676560458 | -0.00035939400213314796 | 9.028568724123392e-06  | 9.028568724123392e-06  | -1.8116855578573788e-07 |
| 0.1 | 0.3 |  0.7408182206817179  |  0.7290000000000001  |    0.74118378125     |      0.741217625      |  0.7408081879120371  |  0.7408081879120371  |  0.7408184220011776  | 0.015952929277093627 |  -0.0004934551527980479 |  -0.0005391394368170022 | 1.3542822518025883e-05 | 1.3542822518025883e-05 | -2.7175284590619754e-07 |
| 0.1 | 0.4 |  0.6703200460356393  |  0.6561000000000001  |  0.670740862578125   |     0.670801950625    |  0.6703079420290748  |  0.6703079420290748  |  0.6703202889174906  | 0.021213815877562395 |  -0.0006277845112561943 |  -0.0007189171683149733 | 1.8057055933309234e-05 | 1.8057055933309234e-05 |  -3.623371443749493e-07 |
| 0.1 | 0.5 |  0.6065306597126334  |  0.5904900000000001  |  0.6069838784767577  |   0.607075765315625   |  0.6065169695459746  |  0.6065169695459746  |  0.6065309344233799  | 0.026446576864281215 |  -0.0007472314166921524 |  -0.0008987272024300559 | 2.2571268969898818e-05 | 2.2571268969898818e-05 |  -4.529214510180764e-07 |
| 0.1 | 0.6 |  0.5488116360940264  |       0.531441       |  0.5492791753252739  |   0.5494035676106407  |  0.548796771277516   |  0.548796771277516   |  0.548811934376315   | 0.03165136260166735  |  -0.0008519120231762646 |  -0.0010785695449665774 | 2.7085461627887015e-05 | 2.7085461627887015e-05 |  -5.435057659664595e-07 |
| 0.1 | 0.7 |  0.4965853037914095  |      0.4782969       |  0.4970530582310597  |   0.4972102286876298  | 0.49656961187760573  | 0.49656961187760573  | 0.49658561867122897  | 0.036828322650264214 |  -0.0009419417692769098 |  -0.0012584442017293182 | 3.159963390778503e-05  | 3.159963390778503e-05  |  -6.340900889266918e-07 |
| 0.1 | 0.8 | 0.44932896411722156  |      0.43046721      |  0.4497861273035314  |   0.449975256962305   |  0.4493127371472536  |  0.4493127371472536  | 0.44932928973442815  | 0.04197760577103793  |  -0.0010174353821325744 |  -0.0014383511785250385 | 3.6113785809084975e-05 | 3.6113785809084975e-05 |  -7.246744202804419e-07 |
| 0.1 | 0.9 |  0.4065696597405991  |     0.387420489      |  0.4070081479164371  |  0.40722760755088605  |  0.4065531416620733  |  0.4065531416620733  | 0.40656999120007564  | 0.04709935992965325  |  -0.0010785068814966065 |  -0.001618290481160662  | 4.062791733243646e-05  | 4.062791733243646e-05  |  -8.15258759701689e-07  |
| 0.1 | 1.0 | 0.36787944117144233  |     0.3486784401     | 0.36829340471708444  |  0.36854098483355185  | 0.36786283434723266  | 0.36786283434723266  |  0.3678797744124984  | 0.05219373230072439  |  -0.0011252695837634086 |  -0.0017982621154445603 |  4.51420284775735e-05  |  4.51420284775735e-05  |  -9.05843107246951e-07  |
| 0.1 | 1.1 | 0.33287108369807955  |    0.31381059609     |  0.3332564938574187  |  0.33352959127436443  | 0.33285455461185437  | 0.33285455461185437  |  0.332871415379969   | 0.05726086927204459  |  -0.0011578361059703891 |  -0.0019782660871863612 |  4.96561192445698e-05  |  4.96561192445698e-05  |  -9.96427463055679e-07  |
| 0.1 | 1.2 | 0.30119421191220214  |    0.282429536481    |  0.3015485121965453  |  0.30184428010329983  |  0.3011778961646262  |  0.3011778961646262  |  0.3011945393138727  | 0.06230091644879293  |  -0.0011763183697781946 |  -0.002158302402196199  | 5.417018963395816e-05  | 5.417018963395816e-05  | -1.0870118269330426e-06 |
| 0.1 | 1.3 |  0.2725317930340126  |   0.2541865828329    |  0.2728536060985846  |  0.27316907349348635  | 0.27251579971295925  | 0.27251579971295925  |  0.2725321139664163  | 0.06731401865771693  |  -0.0011808276054304442 |  -0.0023383710662859087 | 5.8684239645194343e-05 | 5.8684239645194343e-05 | -1.1775961994564184e-06 |
| 0.1 | 1.4 |  0.2465969639416065  |   0.22876792454961   | 0.24688584596105487  |  0.24721801151160513  | 0.24658137944027597  | 0.24658137944027597  | 0.24659727667108722  | 0.07230031995129653  |  -0.0011714743556890837 |  -0.002518472085267471  |  6.31982692788066e-05  |  6.31982692788066e-05  | -1.2681805798800875e-06 |
